heading,news_provider,date,time,wordcount
  Press Release: Marathon Digital Holdings' CFO Hugh Gallagher To Retire in May 2023,Dow Jones Institutional News,2023-03-31,21:25:00,792
  Crypto Beat Other Assets in the First Quarter. But the Rally Is on Shaky Ground.,Barron's Online,2023-03-31,20:33:00,576
  Crypto Beat Other Assets in the First Quarter. But the Rally Is on Shaky Ground. -- Barrons.com,Dow Jones Institutional News,2023-03-31,20:33:00,618
"  Press Release: Investview, Inc. (""INVU"") Announces Financial Results for the Twelve Months Ended December 31, 2022",Dow Jones Institutional News,2023-03-31,18:28:00,2343
"                             Investview, Inc. (""INVU"") Announces Financial Results for the Twelve Months Ended December 31, 2022",Dow Jones Institutional News,2023-03-31,18:28:00,2317
  Bitcoin on Pace for Best Quarter Since 2021 -- WSJ,Dow Jones Institutional News,2023-03-31,17:45:00,232
  Bitcoin Steadies After Inflation Data. Cryptos Are Closing Out a Remarkable Quarter.,Barron's Online,2023-03-31,13:25:00,480
  Press Release: Greenidge Generation Reports Fourth Quarter and Full Year 2022,Dow Jones Institutional News,2023-03-31,12:02:00,3373
"  Press Release: LM Funding America, Inc. Provides Year-End Business Update; Reports Successful Repositioning into Bitcoin Mining Strategy",Dow Jones Institutional News,2023-03-31,12:00:00,2483
  Bitcoin Slips Ahead of Inflation Data. Cryptos Are Closing Out a Remarkable Quarter. -- Barrons.com,Dow Jones Institutional News,2023-03-31,09:34:00,410
"  Can bitcoin hold gains, as U.S. regulators target crypto companies?",MarketWatch,2023-03-30,20:16:00,1029
  Press Release: TeraWulf Reports Fourth Quarter and Full Year 2022 Results and Provides Operational Update,Dow Jones Institutional News,2023-03-30,20:10:00,3253
"  Core's Revolutionary Satoshi Plus Consensus Marries Decentralization, Security, and Scalability",Dow Jones Newswires German,2023-03-30,15:00:00,528
  Bitcoin Traders Eye Economic Data to Keep the Crypto Rally Going,Barron's Online,2023-03-30,13:17:00,589
  Bitcoin Traders Eye Economic Data to Keep the Crypto Rally Going -- Barrons.com,Dow Jones Institutional News,2023-03-30,09:19:00,358
                             Elon Musk Wants an AI Pause,Barron's Podcasts,2023-03-30,07:37:00,734
  Bitcoin Is Consuming More Energy Than Ever. Rising Crypto Prices Aren't All Good.,Barron's Online,2023-03-29,16:00:00,657
  Bitcoin Is Consuming More Energy Than Ever. Rising Crypto Prices Aren't All Good. -- Barrons.com,Dow Jones Institutional News,2023-03-29,16:00:00,693
"  Cryptos Are Bouncing Back. Bitcoin Is on the Way to $36,000.",Barron's Online,2023-03-29,13:08:00,605
  Press Release: Stronghold Digital Mining Reports Fourth Quarter and Full Year 2022 Results and Provides Operational Update,Dow Jones Institutional News,2023-03-29,12:55:00,6342
"  *Ault Alliance's Subsidiary, BitNile Inc., Collaborates With Core Scientific for Bitcoin Mining Expansion",Dow Jones Institutional News,2023-03-29,10:45:00,767
"  Cryptos Bounce Back From Binance Wobble. Bitcoin Is on a Road to $36,000. -- Barrons.com",Dow Jones Institutional News,2023-03-29,09:21:00,459
  N.Y. Couple Guides El Salvador on Bitcoin -- WSJ,Dow Jones Institutional News,2023-03-29,06:32:00,1374
  The Regulatory Crackdown on Crypto Continues. Coinbase Stock Is Holding Up.,Barron's Online,2023-03-28,19:16:00,504
                             Coinbase Has Held Up Despite the Regulatory Crypto Crackdown. What It Says About the Stock. -- Barrons.com,Dow Jones Institutional News,2023-03-28,19:16:00,552
