,titles,url,time,date
0,"Senator Warren says banks have ‘done really bad jobs’, advocates for CBDCs instead of Bitcoin",https://cryptoslate.com/senator-warren-says-banks-have-done-really-bad-jobs-advocates-for-cbdcs-instead-of-bitcoin/,at 8:30 am UTC," Apr. 3, 2023 "
1,More than 50% of Bitcoin mining uses renewable energy,https://cryptoslate.com/more-than-50-of-bitcoin-mining-uses-renewable-energy/,at 8:23 pm UTC," Mar. 31, 2023 "
2,U.S. government sold over 9k BTC for $215.7M on March 14,https://cryptoslate.com/u-s-government-sold-over-9k-btc-for-215-7m-on-march-14/,at 6:18 pm UTC," Mar. 31, 2023 "
3,1 Year until the Bitcoin halving – BitTalk #12,https://cryptoslate.com/podcasts/1-year-until-the-bitcoin-halving-bittalk-12/,at 1:30 pm UTC," Mar. 31, 2023 "
4,"CryptoSlate wMarket Update: Mixed market performance sees Bitcoin drop below $28,000",https://cryptoslate.com/cryptoslate-wmarket-update-mixed-market-performance-sees-bitcoin-drop-below-28000/,at 12:45 pm UTC," Mar. 31, 2023 "
5,BTC miner TeraWulf grew revenue over 140% in Q4’22,https://cryptoslate.com/btc-miner-terawulf-grew-revenue-over-140-in-q422/,at 11:45 am UTC," Mar. 31, 2023 "
6,Stacks co-founder urges crypto community to fund Senator Warren’s opponents,https://cryptoslate.com/stacks-co-founder-urges-crypto-community-to-fund-senator-warrens-opponents/,at 10:30 am UTC," Mar. 31, 2023 "
7,Denmark Supreme Court rules that Bitcoin gains are taxable,https://cryptoslate.com/denmark-supreme-court-rules-that-bitcoin-gains-are-taxable/,at 2:25 pm UTC," Mar. 30, 2023 "
8,"CryptoSlate wMarket Update: Bitcoin $29,000 rally short-lived as top 10 assets plunge",https://cryptoslate.com/cryptoslate-wmarket-update-bitcoin-29000-rally-short-lived-as-top-10-assets-plunge/,at 12:45 pm UTC," Mar. 30, 2023 "
9,Bitcoin reclaims $28k despite potential regulatory woes from Binance lawsuit,https://cryptoslate.com/bitcoin-reclaims-28000-despite-regulatory-woes-from-binance-lawsuit/,at 1:30 pm UTC," Mar. 29, 2023 "
10,"CryptoSlate wMarket Update: CFTC’s Binance lawsuit puts bears in control of market — pushes BTC below $27,000",https://cryptoslate.com/cryptoslate-wmarket-update-cftcs-binance-lawsuit-puts-bears-in-control-of-market-pushes-btc-below-27000/,at 12:45 pm UTC," Mar. 28, 2023 "
11,"MicroStrategy acquires Bitcoin worth $150M, makes repayment on Silvergate loan",https://cryptoslate.com/microstrategy-acquires-bitcoin-worth-150m-makes-repayment-on-silvergate-loan/,at 1:57 pm UTC," Mar. 27, 2023 "
12,Accidentally burnt CryptoPunk #685 ‘resurrected’ – becomes first official CryptoPunk Ordinal,https://cryptoslate.com/accidentally-burnt-cryptopunk-685-resurrected-becomes-first-official-cryptopunk-ordinal/,at 1:45 pm UTC," Mar. 27, 2023 "
13,Theories abound as Bitcoin hash rate records unprecedented rise,https://cryptoslate.com/theories-abound-as-bitcoin-hash-rate-records-unprecedented-rise/,at 1:00 pm UTC," Mar. 27, 2023 "
14,"CryptoSlate wMarket Update: Bitcoin meets resistance at $28,000 as liquidity concerns rise",https://cryptoslate.com/cryptoslate-wmarket-update-bitcoin-meets-resistance-at-28000-as-liquidity-concerns-rise/,at 12:45 pm UTC," Mar. 27, 2023 "
15,Binance Bitcoin trading volume plunges 13% – lowest level in 8 months,https://cryptoslate.com/binance-bitcoin-trading-volume-plunges-13-lowest-level-in-8-months/,at 10:50 am UTC," Mar. 27, 2023 "
16,Dormant Bitfinex whales cash out 12K BTC,https://cryptoslate.com/dormant-bitfinex-whales-cash-out-12k-btc/,at 7:28 pm UTC," Mar. 26, 2023 "
17,"10k NFT collection on Bitcoin, the great NFT migration? – SlateCast #56",https://cryptoslate.com/podcasts/10k-nft-collection-on-bitcoin-the-great-nft-migration-slatecast-56/,at 12:54 pm UTC," Mar. 26, 2023 "
18,Bitcoin cannot be stopped – Regulators will only be playing Whack-a-Mole: Caitlin Long,https://cryptoslate.com/bitcoin-cannot-be-stopped-regulators-will-only-be-playing-whack-a-mole-caitlin-long/,at 2:30 pm UTC," Mar. 24, 2023 "
19,8 out of 10 investors store crypto on hot wallets: CoinGecko survey,https://cryptoslate.com/8-out-of-10-investors-store-crypto-on-hot-wallets-coingecko-survey/,at 1:30 pm UTC," Mar. 24, 2023 "
20,Binance bug dumps BTC 1.39% – CZ assures ‘Funds are #SAFU’,https://cryptoslate.com/binance-bug-dumps-btc-1-39-cz-assures-funds-are-safu/,at 12:10 pm UTC," Mar. 24, 2023 "
21,"CryptoSlate Daily wMarket Update: Bitcoin bulls successfully defend $27,800",https://cryptoslate.com/cryptoslate-daily-wmarket-update-bitcoin-bulls-successfully-defend-27800/,at 11:45 am UTC," Mar. 24, 2023 "
22,SEC issues investor alert over crypto investments,https://cryptoslate.com/sec-issues-investor-alert-over-crypto-investments/,at 4:59 pm UTC," Mar. 23, 2023 "
23,Circle CEO says ‘aggressive regulatory actions’ on crypto caused ‘deep market anxiety’,https://cryptoslate.com/circle-ceo-says-aggressive-regulatory-actions-on-crypto-caused-deep-market-anxiety/,at 2:10 pm UTC," Mar. 23, 2023 "
24,CryptoSlate Daily wMarket Update: Litecoin shines as wider crypto market stutters,https://cryptoslate.com/cryptoslate-daily-wmarket-update-litecoin-shines-as-wider-crypto-market-stutters/,at 11:45 am UTC," Mar. 23, 2023 "
