heading,news_provider,date,time,wordcount
  Press Release: Marathon Digital Holdings' CFO Hugh Gallagher To Retire in May 2023,Dow Jones Institutional News,2023-03-31,21:25:00,792
  Crypto Beat Other Assets in the First Quarter. But the Rally Is on Shaky Ground. -- Barrons.com,Dow Jones Institutional News,2023-03-31,20:33:00,618
"  Press Release: Investview, Inc. (""INVU"") Announces Financial Results for the Twelve Months Ended December 31, 2022",Dow Jones Institutional News,2023-03-31,18:28:00,2343
"                             Investview, Inc. (""INVU"") Announces Financial Results for the Twelve Months Ended December 31, 2022",Dow Jones Institutional News,2023-03-31,18:28:00,2317
  Bitcoin on Pace for Best Quarter Since 2021 -- WSJ,Dow Jones Institutional News,2023-03-31,17:45:00,232
  Press Release: Greenidge Generation Reports Fourth Quarter and Full Year 2022,Dow Jones Institutional News,2023-03-31,12:02:00,3373
"  Press Release: LM Funding America, Inc. Provides Year-End Business Update; Reports Successful Repositioning into Bitcoin Mining Strategy",Dow Jones Institutional News,2023-03-31,12:00:00,2483
  Bitcoin Slips Ahead of Inflation Data. Cryptos Are Closing Out a Remarkable Quarter. -- Barrons.com,Dow Jones Institutional News,2023-03-31,09:34:00,410
  Press Release: TeraWulf Reports Fourth Quarter and Full Year 2022 Results and Provides Operational Update,Dow Jones Institutional News,2023-03-30,20:10:00,3253
"  Core's Revolutionary Satoshi Plus Consensus Marries Decentralization, Security, and Scalability",Dow Jones Newswires German,2023-03-30,15:00:00,528
  Bitcoin Traders Eye Economic Data to Keep the Crypto Rally Going -- Barrons.com,Dow Jones Institutional News,2023-03-30,09:19:00,358
  Bitcoin Is Consuming More Energy Than Ever. Rising Crypto Prices Aren't All Good. -- Barrons.com,Dow Jones Institutional News,2023-03-29,16:00:00,693
  Press Release: Stronghold Digital Mining Reports Fourth Quarter and Full Year 2022 Results and Provides Operational Update,Dow Jones Institutional News,2023-03-29,12:55:00,6342
"  *Ault Alliance's Subsidiary, BitNile Inc., Collaborates With Core Scientific for Bitcoin Mining Expansion",Dow Jones Institutional News,2023-03-29,10:45:00,767
"  Cryptos Bounce Back From Binance Wobble. Bitcoin Is on a Road to $36,000. -- Barrons.com",Dow Jones Institutional News,2023-03-29,09:21:00,459
  N.Y. Couple Guides El Salvador on Bitcoin -- WSJ,Dow Jones Institutional News,2023-03-29,06:32:00,1374
                             Coinbase Has Held Up Despite the Regulatory Crypto Crackdown. What It Says About the Stock. -- Barrons.com,Dow Jones Institutional News,2023-03-28,19:16:00,552
  TwelveFold to Voodling: Milkcrate's Entry in the Bitcoin Ordinals Movement is One to Watch,Dow Jones Institutional News,2023-03-28,17:30:00,545
  Press Release: TwelveFold to Voodling: Milkcrate's Entry in the Bitcoin Ordinals Movement is One to Watch,Dow Jones Institutional News,2023-03-28,17:30:00,547
  *Former Russia State TV Hosts Advise El Salvador on Bitcoin Adoption -- WSJ,Dow Jones Institutional News,2023-03-28,14:33:00,1372
                             MicroStrategy Has Rallied With Bitcoin. It Bought Crypto -- and Sold Stock. -- Barrons.com,Dow Jones Institutional News,2023-03-28,12:56:00,494
"  Press Release: Bitcoin Well Launches Bitcoin Well Infinite and Expands to USA, With Other Updates",Dow Jones Institutional News,2023-03-28,12:04:00,1283
"  Press Release: Galaxy Announces Fourth Quarter, Full Year 2022 Financial Results and Preliminary Results for the First Quarter to Date",Dow Jones Institutional News,2023-03-28,11:00:00,6136
  Press Release: Hut 8 provides update on North Bay Facility,Dow Jones Institutional News,2023-03-28,10:30:00,1280
  Bitcoin and Other Cryptos Fall. It's Not All Because of Binance. -- Barrons.com,Dow Jones Institutional News,2023-03-28,09:27:00,458
"                             MicroStrategy Snaps Up More Bitcoins, Pays Off Silvergate Loan -- WSJ",Dow Jones Institutional News,2023-03-27,15:45:00,281
                             Silvergate Takes $44 Million Loss on Bitcoin Loan -- WSJ,Dow Jones Institutional News,2023-03-27,12:59:00,232
